"","Date","Value"
"1",2021-02-17,47951.85
"2",2021-02-16,48720.37
"3",2021-02-15,47185.19
"4",2021-02-14,47471.4
"5",2021-02-13,48013.38
"6",2021-02-12,44878.17
"7",2021-02-11,46589.58
"8",2021-02-10,46364.3
"9",2021-02-09,38928.1
"10",2021-02-08,39323.26
"11",2021-02-07,38278.61
"12",2021-02-06,37002.09
"13",2021-02-05,37676.25
"14",2021-02-04,35529.66
"15",2021-02-03,33522.9
"16",2021-02-02,33522.9
"17",2021-02-01,34318.1
"18",2021-01-31,34314.26
"19",2021-01-30,33403.17
"20",2021-01-29,30419.17
"21",2021-01-28,32541.8
"22",2021-01-27,32243.26
"23",2021-01-26,32276.84
"24",2021-01-25,32099.74
"25",2021-01-24,33002.38
"26",2021-01-23,30797.88
"27",2021-01-22,35538.98
"28",2021-01-21,36020.13
"29",2021-01-20,36632.35
"30",2021-01-19,35793.01
"31",2021-01-18,36065.2
"32",2021-01-17,36828.52
"33",2021-01-16,39158.47
"34",2021-01-15,37393.13
"35",2021-01-14,34011.82
"36",2021-01-13,35544.94
"37",2021-01-12,38240.09
"38",2021-01-11,40240.72
"39",2021-01-10,40670.25
"40",2021-01-09,39486.04
"41",2021-01-08,36860.41
"42",2021-01-07,34046.67
"43",2021-01-06,32035.03
"44",2021-01-05,33000.78
"45",2021-01-04,32195.46
"46",2021-01-03,29393.75
"47",2021-01-02,28982.56
"48",2021-01-01,28856.59
"49",2020-12-31,27376.37
"50",2020-12-30,27036.69
"51",2020-12-29,26246.58
"52",2020-12-28,26443.21
"53",2020-12-27,24693.58
"54",2020-12-26,23715.53
"55",2020-12-25,23253.37
"56",2020-12-24,23824.99
"57",2020-12-23,22745.48
"58",2020-12-22,23490.58
"59",2020-12-21,23869.92
"60",2020-12-20,23150.79
"61",2020-12-19,22847.46
"62",2020-12-18,21379.48
"63",2020-12-17,19439.75
"64",2020-12-16,19276.59
"65",2020-12-15,19164.48
"66",2020-12-14,18803.44
"67",2020-12-13,18029.36
"68",2020-12-12,18247.76
"69",2020-12-11,18554.15
"70",2020-12-10,18318.87
"71",2020-12-09,19181.41
"72",2020-12-08,19377.66
"73",2020-12-07,19155.06
"74",2020-12-06,18670.49
"75",2020-12-05,19454.54
"76",2020-12-04,19226.97
"77",2020-12-03,18792.52
"78",2020-12-02,19709.73
"79",2020-12-01,18191.6
"80",2020-11-30,17732.42
"81",2020-11-29,17138.87
"82",2020-11-28,17151.44
"83",2020-11-27,18739.8
"84",2020-11-26,19172.52
"85",2020-11-25,18398.91
"86",2020-11-24,18422.28
"87",2020-11-23,18699.75
"88",2020-11-22,18687.45
"89",2020-11-21,17820.57
"90",2020-11-20,17798.45
"91",2020-11-19,17679.72
"92",2020-11-18,16725.15
"93",2020-11-17,15968.16
"94",2020-11-16,16091.07
"95",2020-11-15,16339.33
"96",2020-11-14,16295.57
"97",2020-11-13,15708.65
"98",2020-11-12,15317.04
"99",2020-11-11,15328.53
"100",2020-11-10,15490.6
"101",2020-11-09,14839.84
"102",2020-11-08,15595.77
"103",2020-11-07,15591.39
"104",2020-11-06,14155.59
"105",2020-11-05,14023.31
"106",2020-11-04,13575.17
"107",2020-11-03,13758.88
"108",2020-11-02,13810.32
"109",2020-11-01,13564.72
"110",2020-10-31,13458.66
"111",2020-10-30,13289
"112",2020-10-29,13651.47
"113",2020-10-28,13076.37
"114",2020-10-27,13036.77
"115",2020-10-26,13128.46
"116",2020-10-25,12944.52
"117",2020-10-24,12990.25
"118",2020-10-23,12831.56
"119",2020-10-22,11925.46
"120",2020-10-21,11758.16
"121",2020-10-20,11508.2
"122",2020-10-19,11366.51
"123",2020-10-18,11327.57
"124",2020-10-17,11503.73
"125",2020-10-16,11431.32
"126",2020-10-15,11428.24
"127",2020-10-14,11540.04
"128",2020-10-13,11376.61
"129",2020-10-12,11302.67
"130",2020-10-11,11063.19
"131",2020-10-10,10923.3
"132",2020-10-09,10670.8
"133",2020-10-08,10603.74
"134",2020-10-07,10788.56
