"","inFlow","outFlow","Date"
"1",547.33419896,-303.23157761,2016-08-10
"2",1782.45800164,-1957.34366887,2016-08-11
"3",2375.82319471,-2281.03995989,2016-08-12
"4",962.70339435,-1028.70348831,2016-08-13
"5",681.66810576,-779.66820074,2016-08-14
"6",542.91041451,-542.91041451,2016-08-15
"7",196.5359248,-116.96983543,2016-08-16
"8",761.87574905,-780.04570192,2016-08-17
"9",761.91758621,-823.31372271,2016-08-18
"10",430.01518698,-379.724741,2016-08-19
"11",527.74537772,-578.0358237,2016-08-20
"12",68.00009879,0,2016-08-21
"13",231.00029689,-299.00039568,2016-08-22
"14",157.30437044,-157.30437044,2016-08-23
"15",63.00010111,-63.00010111,2016-08-24
"16",309.74666917,-309.74666917,2016-08-25
"17",332.56847934,-263.15947653,2016-08-26
"18",86.00010249,-155.4091053,2016-08-27
"19",0,0,2016-08-28
"20",0,0,2016-08-29
"21",0,0,2016-08-30
"22",0,0,2016-08-31
"23",239.61118388,-190.61113052,2016-09-01
"24",109.00021392,-158.00026728,2016-09-02
"25",109.26541563,-109.26541563,2016-09-03
"26",0,0,2016-09-04
"27",314.25490788,-236.25479865,2016-09-05
"28",305.00043834,-305.00043784,2016-09-06
"29",73.00010977,-151.0002195,2016-09-07
"30",67.00011043,-67.00011043,2016-09-08
"31",0,0,2016-09-09
"32",0,0,2016-09-10
"33",47.60201898,-47.60201898,2016-09-11
"34",124.81484684,-124.81484684,2016-09-12
"35",0,0,2016-09-13
"36",0,0,2016-09-14
"37",0,0,2016-09-15
"38",0,0,2016-09-16
"39",0,0,2016-09-17
"40",206.11967854,-111.2145903,2016-09-18
"41",130.36284553,-225.26793377,2016-09-19
"42",250.11664034,-173.11652065,2016-09-20
"43",186.08020753,-77.00011969,2016-09-21
"44",98.51055159,-284.59075912,2016-09-22
"45",0,0,2016-09-23
"46",37.78536488,-37.78536488,2016-09-24
"47",2.00012186,-2.00012186,2016-09-25
"48",0,0,2016-09-26
"49",0,0,2016-09-27
"50",123.06220764,-123.06220764,2016-09-28
"51",0,0,2016-09-29
"52",0,0,2016-09-30
"53",0,0,2016-10-01
"54",75.60528953,-75.60528953,2016-10-02
"55",23.60822588,-23.60822588,2016-10-03
"56",54.41365329,-54.41365329,2016-10-04
"57",132.38416426,-83.3840998,2016-10-05
"58",111.42726562,-86.44419847,2016-10-06
"59",151.62728228,-225.61041389,2016-10-07
"60",0,0,2016-10-08
"61",14.81812349,-14.81812349,2016-10-09
"62",0,0,2016-10-10
"63",343.33899285,-307.46187046,2016-10-11
"64",207.67388601,-70.36276387,2016-10-12
"65",120.98291255,-238.98899516,2016-10-13
"66",255.57203403,-310.75419595,2016-10-14
"67",37.42919531,0,2016-10-15
"68",145.57676942,-37.42919531,2016-10-16
"69",83.05419736,-228.63096678,2016-10-17
"70",227.55877291,-193.01812212,2016-10-18
"71",254.72612226,-289.26677305,2016-10-19
"72",0,0,2016-10-20
"73",281.93647039,-249.73507144,2016-10-21
"74",520.81249206,-479.792896,2016-10-22
"75",300.65141737,-317.87227195,2016-10-23
"76",330.54249798,-386.54263841,2016-10-24
"77",298.31625541,-200.24151216,2016-10-25
"78",525.70397981,-513.70952382,2016-10-26
"79",153.67417798,-263.74337722,2016-10-27
"80",217.62325751,-145.11921863,2016-10-28
"81",115.81802587,-188.32206475,2016-10-29
"82",823.76885276,-668.7125291,2016-10-30
"83",159.07974842,-314.13607208,2016-10-31
"84",1042.96775855,-983.96761092,2016-11-01
"85",170.23057754,-180.21408633,2016-11-02
"86",734.43096346,-610.93619623,2016-11-03
"87",105.66665671,-278.17806278,2016-11-04
"88",61.3431994,0,2016-11-05
"89",50.00014959,-111.34334899,2016-11-06
"90",0,0,2016-11-07
"91",0,0,2016-11-08
"92",129.60253178,-129.60253178,2016-11-09
"93",40.85094837,-40.85094837,2016-11-10
"94",0,0,2016-11-11
"95",0,0,2016-11-12
"96",195.40258336,-195.40258336,2016-11-13
"97",70.57306293,-70.57306293,2016-11-14
"98",170.87778816,-139.93285229,2016-11-15
"99",394.47366087,-412.15453368,2016-11-16
"100",554.42775243,-567.69181549,2016-11-17
"101",93.77661711,-93.77661711,2016-11-18
"102",0,0,2016-11-19
"103",0,0,2016-11-20
"104",0,0,2016-11-21
"105",193.50221871,-157.50254174,2016-11-22
"106",37.86218066,-73.86185763,2016-11-23
"107",72.89710781,-72.89710781,2016-11-24
"108",0,0,2016-11-25
"109",0,0,2016-11-26
"110",0,0,2016-11-27
"111",0,0,2016-11-28
"112",0,0,2016-11-29
"113",0,0,2016-11-30
"114",640.00736723,-459.75505823,2016-12-01
"115",263.91322866,-444.16553766,2016-12-02
"116",0,0,2016-12-03
"117",0,0,2016-12-04
"118",64.02111708,-64.02111708,2016-12-05
"119",160.23450053,-160.23450053,2016-12-06
"120",35.44823374,-35.44823374,2016-12-07
"121",0,0,2016-12-08
"122",0,0,2016-12-09
"123",42.00511384,0,2016-12-10
"124",34.28358392,0,2016-12-11
"125",550.19315156,-626.48184932,2016-12-12
"126",35.20138289,-35.20138289,2016-12-13
"127",0,0,2016-12-14
"128",71.5140289,-71.5140289,2016-12-15
"129",285.24527733,-285.24527733,2016-12-16
"130",0,0,2016-12-17
"131",0,0,2016-12-18
"132",210.02825571,-174.5915344,2016-12-19
"133",0,-35.43672131,2016-12-20
"134",59.00017139,-59.00017139,2016-12-21
"135",55.00017225,-55.00017225,2016-12-22
"136",110.84879306,-110.84879306,2016-12-23
"137",0,0,2016-12-24
"138",249.11721667,-166.49203651,2016-12-25
"139",503.25853617,-509.44869369,2016-12-26
"140",419.64288723,-496.07790987,2016-12-27
"141",485.12902386,-305.69060454,2016-12-28
"142",442.14538348,-621.5838028,2016-12-29
"143",291.56813793,-248.93427405,2016-12-30
"144",91.02790154,-133.66176542,2016-12-31
"145",228.43379383,-118.84911555,2017-01-01
"146",288.02054858,-373.66985401,2017-01-02
"147",551.40386676,-365.24400931,2017-01-03
"148",1012.02488722,-1047.56773105,2017-01-04
"149",250.68106172,-425.23344819,2017-01-05
"150",100.62201747,-100.62201747,2017-01-06
"151",682.56435808,-682.56435808,2017-01-07
"152",450.73016186,-450.73016186,2017-01-08
"153",32.34211594,-32.34211594,2017-01-09
"154",0,0,2017-01-10
"155",73.51849028,-73.51849028,2017-01-11
"156",186.90573013,-186.90573013,2017-01-12
"157",189.11178869,-189.11178869,2017-01-13
"158",108.60026799,-108.60026799,2017-01-14
"159",0,0,2017-01-15
"160",122.7115736,-122.7115736,2017-01-16
"161",420.5968715,-280.7447862,2017-01-17
"162",83.41534876,-206.53804113,2017-01-18
"163",406.10255534,-344.93724298,2017-01-19
"164",241.86074299,-290.50720466,2017-01-20
"165",365.62996982,-383.39531757,2017-01-21
"166",118.68301456,-130.16591043,2017-01-22
"167",273.87214155,-273.87214155,2017-01-23
"168",344.4422706,-274.98090923,2017-01-24
"169",158.18093895,-227.64230032,2017-01-25
"170",76.65216961,-76.65216961,2017-01-26
"171",160.66121235,-160.66121235,2017-01-27
"172",490.98696249,-311.6508578,2017-01-28
"173",41.66893554,-221.00504023,2017-01-29
"174",147.88133822,-98.15645895,2017-01-30
"175",577.27152181,-626.99640108,2017-01-31
"176",225.72597272,-225.72597272,2017-02-01
"177",198.22288972,-198.22288972,2017-02-02
"178",233.99747389,-233.99747389,2017-02-03
"179",266.5758733,-266.5758733,2017-02-04
"180",108.38421516,-108.38421516,2017-02-05
"181",11.72330211,-11.72330211,2017-02-06
"182",331.9846953,-258.8381343,2017-02-07
"183",333.2366309,-406.3831919,2017-02-08
"184",612.34253532,-405.70186605,2017-02-09
"185",308.27159467,-478.32833608,2017-02-10
"186",71.87692545,-74.24983886,2017-02-11
"187",43.87278998,-78.08380443,2017-02-12
"188",20.41580809,-20.41580809,2017-02-13
"189",669.15286662,-566.5955245,2017-02-14
"190",309.80741446,-412.36475658,2017-02-15
"191",417.98600298,-294.43890151,2017-02-16
"192",417.35425059,-343.54845564,2017-02-17
"193",142.46556929,-310.41211512,2017-02-18
"194",75.39381343,-104.80016402,2017-02-19
"195",288.79863796,-190.90504879,2017-02-20
"196",696.84387718,-772.77197009,2017-02-21
