"","inFlow","outFlow","Nin","Nout","Date"
"1",8535.19,-6063.6,5,3,2016-06-27
"2",27350.88,-22012.27,7,8,2016-06-28
"3",38948.56,-46758.76,3,8,2016-06-29
"4",120782.12,-106301,13,12,2016-06-30
"5",94294.95,-108776.07,12,11,2016-07-01
"6",15459.03,-15459.03,2,2,2016-07-02
"7",39939.47,-33560.55,4,4,2016-07-03
"8",154871.94,-161250.86,7,15,2016-07-04
"9",99348.9,-99348.9,9,8,2016-07-05
"10",26257.77,-26257.77,3,3,2016-07-06
"11",329213.16,-244771.93,22,15,2016-07-07
"12",16994.02,-101435.25,2,7,2016-07-08
"13",54189.73,-54189.73,3,4,2016-07-09
"14",0,0,0,0,2016-07-10
"15",0,0,0,0,2016-07-11
"16",0,0,0,0,2016-07-12
"17",0,0,0,0,2016-07-13
"18",46007.51,-46007.51,2,2,2016-07-14
"19",39773.46,-39773.46,2,2,2016-07-15
"20",0,0,0,0,2016-07-16
"21",47336.6,-47336.6,2,2,2016-07-17
"22",0,0,0,0,2016-07-18
"23",0,0,0,0,2016-07-19
"24",0,0,0,0,2016-07-20
"25",0,0,0,0,2016-07-21
"26",91454.9,-91454.9,2,2,2016-07-22
"27",68909.44,-68909.44,2,2,2016-07-23
"28",48278.76,-48278.76,3,2,2016-07-24
"29",0,0,0,0,2016-07-25
"30",151489.14,-151489.14,6,5,2016-07-26
"31",44093.42,-44093.42,3,1,2016-07-27
"32",97091.68,-97091.68,2,2,2016-07-28
"33",0,0,0,0,2016-07-29
"34",20220.52,-20220.52,1,1,2016-07-30
"35",73661.27,-73661.27,3,3,2016-07-31
"36",291002.82,-291002.82,9,8,2016-08-01
"37",258542.14,-258542.14,11,8,2016-08-02
"38",0,0,0,0,2016-08-03
"39",0,0,0,0,2016-08-04
"40",0,0,0,0,2016-08-05
"41",0,0,0,0,2016-08-06
"42",0,0,0,0,2016-08-07
"43",0,0,0,0,2016-08-08
"44",0,0,0,0,2016-08-09
"45",0,0,0,0,2016-08-10
"46",0,0,0,0,2016-08-11
"47",0,0,0,0,2016-08-12
"48",0,0,0,0,2016-08-13
"49",47562.21,-37321.98,4,2,2016-08-14
"50",15471.65,-25711.88,1,1,2016-08-15
"51",0,0,0,0,2016-08-16
"52",14175.61,-14175.61,2,2,2016-08-17
"53",19907.42,-19907.42,2,2,2016-08-18
"54",20194.22,-20194.22,3,2,2016-08-19
"55",8382.73,-8382.73,1,1,2016-08-20
"56",0,0,0,0,2016-08-21
"57",0,0,0,0,2016-08-22
"58",0,0,0,0,2016-08-23
"59",0,0,0,0,2016-08-24
"60",0,0,0,0,2016-08-25
"61",0,0,0,0,2016-08-26
"62",0,0,0,0,2016-08-27
"63",7856.6,-7856.6,1,1,2016-08-28
"64",40853.92,-40853.92,6,4,2016-08-29
